,CCR3,PDGFRL,FMO1,TCTEX1D1,SELENOP,CDH10
TCGA.D7.6815.01,0.085,0.7254,0.5449,0.0237,4.3592,0.0044
TCGA.IN.A7NT.01,0.0123,2.1295,1.5896,0.236,0.2482,0.0722
TCGA.BR.8365.01,0.012,3.3837,0.7909,0.4942,8.3132,0.2621
TCGA.B7.A5TJ.01,0.0132,0.4623,0.3062,0.0891,3.9725,0
TCGA.CD.8535.01,0.0249,1.4317,0.1028,0.0969,1.1922,0.0121
TCGA.VQ.A8PK.01,0.0363,0.924,1.2641,0.0723,4.9508,0.0044
TCGA.VQ.AA6D.01,0.0433,4.9498,0.563,0.1023,0.8059,0.0141
TCGA.CG.5721.01,0.4859,1.0075,1.0981,0.1236,3.0364,0
TCGA.FP.8099.01,0.0448,1.4048,0.2339,0.1211,2.8333,0.0238
TCGA.BR.A4J5.01,0.1651,6.232,0.8723,0.5455,5.4584,0
TCGA.BR.8372.01,0.0723,0.7106,0.8116,0.1834,1.9352,0.0431
TCGA.CD.8529.01,0.1002,1.9271,0.9059,0.3902,4.7471,0.0122
TCGA.CG.4444.01,0.4237,1.9045,0.8598,0.1646,17.6312,0.0302
TCGA.VQ.A8P3.01,0.0225,3.5033,0.6986,0.2337,2.5255,0.0131
TCGA.F1.A72C.01,0.0263,2.7334,0.5014,0.2094,3.935,0
TCGA.HF.7133.01,0.2641,2.4609,0.3652,0.0794,5.5089,0.0049
TCGA.KB.A93J.01,0.0502,0.2281,0.2899,0.0533,10.5813,0.0285
TCGA.BR.8373.01,0.1023,1.1634,0.4885,0.0659,33.8132,0.0036
TCGA.BR.8687.01,0.0415,1.7232,0.1867,0.0961,1.5232,0.011
TCGA.CG.4437.01,0.1962,1.6568,0.7656,0.0884,3.9019,0.0116
TCGA.BR.8295.01,0.0653,1.6429,0.7112,0.0495,1.1641,0.0409
TCGA.BR.8364.01,0.0405,10.0134,3.8223,0.3803,15.5421,0.2438
TCGA.CD.8534.01,0.0092,1.6362,1.3512,0.1915,3.5714,0.1533
TCGA.BR.4363.01,0.1964,6.2362,2.8414,0.1019,4.0166,0.0089
TCGA.BR.8366.01,0.131,1.3274,0.8542,0.184,2.1326,0.0288
TCGA.BR.7715.01,0.0054,2.5387,0.8422,0.1143,3.3778,0.0577
TCGA.BR.8384.01,0.0393,4.4214,2.0625,0.3198,6.9593,0.1787
TCGA.CD.8526.01,0.0494,3.0406,0.2977,0.1617,3.5262,0.008
TCGA.HF.7132.01,0.3303,0.5174,0.3579,0.1535,4.38,0.0134
TCGA.D7.6521.01,0.1173,1.0572,0.4556,0.2251,7.9107,0.211
TCGA.B7.5818.01,0,0.5942,0.2335,0.0807,0.8136,0
TCGA.RD.A8N5.01,0.1187,2.5373,0.7299,0.5881,7.2956,0.0289
TCGA.HU.A4G3.01,0.0334,1.2877,0.1436,0.1973,2.7163,0.0145
TCGA.BR.6709.01,0.8038,4.1136,0.9936,0.1058,13.0746,0.2655
TCGA.VQ.A8DU.01,0.1633,0.9972,0.5129,0.213,4.6858,0.0637
TCGA.R5.A805.01,0.1453,0.5065,0.0262,0.304,2.4392,0
TCGA.D7.A6EY.01,0.0325,0.8856,1.0185,0.2873,2.1652,0.0158
TCGA.CG.4306.01,0.2619,1.1003,0.3761,0.1668,3.0028,0.0255
TCGA.BR.4191.01,0.8764,3.4029,1.7632,0.2428,10.2018,0.138
TCGA.HU.A4GX.01,0.0404,0.2331,0.6081,0.0468,0.851,0.0072
TCGA.BR.6455.01,0.0441,1.177,0.7868,0.1108,2.4844,0.0313
TCGA.VQ.A927.01,0.0981,0.263,0.0928,0.2604,3.7621,0
TCGA.SW.A7EA.01,0.0415,1.6423,0.5693,0.0755,0.3228,0
TCGA.VQ.A8PD.01,0.2939,0.3086,0.2273,0.2437,2.8977,0.0157
TCGA.HU.A4GQ.01,0,2.1268,0.8591,0.2816,2.5878,0.0175
TCGA.B7.A5TN.01,0.0071,2.2292,1.4766,0.2758,1.6103,0.0312
TCGA.BR.A44U.01,0.0102,1.8285,0.4833,0.0972,0.3296,0
TCGA.CG.4436.01,0.6502,0.1514,0.1525,0.109,3.007,0
TCGA.BR.A4CR.01,0.0067,1.6926,0.2142,0.1025,48.822,0.8239
TCGA.HU.A4GT.01,0.0207,0.1401,0.6096,0.0877,2.5982,0
TCGA.BR.7197.01,0,0.5567,0.3308,0.0925,1.7453,0
TCGA.IN.A6RR.01,0.0364,0.6614,0.2042,0.0708,2.7088,0.0591
TCGA.BR.4256.01,0.1649,9.1155,1.9464,1.4543,9.6301,0.2698
TCGA.HU.A4H2.01,0.021,0.4065,0.3829,0.1082,1.4517,0.0117
TCGA.R5.A7ZE.01,0.1155,0.2621,0.1365,0.0755,0.8704,0
TCGA.BR.8686.01,0.1108,1.0049,1.3418,0.1176,9.1435,0.2741
TCGA.BR.6802.01,0.0498,1.0179,0.2772,0.0793,1.0366,0.0121
TCGA.CG.5720.01,0.1916,0.7343,0.9535,0.178,11.342,0.014
TCGA.BR.8286.01,0.0287,1.9658,1.0083,0.1015,3.5733,0.0839
TCGA.VQ.A8E7.01,0.0474,0.3336,0.4446,0.1628,6.6711,0.0071
TCGA.CG.4301.01,0.1372,1.5057,0.5838,0.2915,4.5548,0.1731
TCGA.D7.6524.01,0.7981,0.9065,1.4319,0.2897,3.1582,0
TCGA.CD.A489.01,0.0291,1.366,0.3027,0.3245,6.5524,0.0804
TCGA.VQ.A8DT.01,0.0769,0.2052,0.1633,0.0856,1.2969,0.0143
TCGA.VQ.A91Y.01,0.0783,1.5382,0.656,0.3857,4.221,0.0104
TCGA.D7.8572.01,0.1776,3.8753,5.1149,0.1509,3.4062,0.0476
TCGA.HU.A4G9.01,0.0517,0.0277,0.0652,0.035,1.8395,0
TCGA.D7.8579.01,0.6474,1.5815,3.2179,0.3905,8.6851,0.0187
TCGA.D7.6525.01,0.276,4.3246,2.0016,0.0898,3.683,0
TCGA.VQ.AA6K.01,0.0368,0.5722,0.3359,0.0651,10.3923,0.0199
TCGA.HJ.7597.01,0.1376,0.6824,0.5121,0.1018,1.3844,0.0488
TCGA.BR.7707.01,0.0245,2.4933,0.4673,0.0846,0.2106,0.006
TCGA.BR.8683.01,0.0539,0.6925,0.2975,0.3066,8.4515,0.0601
TCGA.BR.4201.01,0.7289,14.5881,7.2876,0.4354,5.3795,0.0178
TCGA.3M.AB47.01,0.038,2.2589,1.5386,0.2824,4.6832,0.3045
TCGA.CG.5726.01,0.1275,0.141,0.1474,0.0339,1.375,0
TCGA.BR.8361.01,0.1484,0.207,0.3258,0.0596,2.2657,0
TCGA.IN.7806.01,0,0.1402,0.2089,0.0746,2.8746,0.004
TCGA.BR.8289.01,0.0192,3.926,1.0608,0.1494,3.947,0.1309
TCGA.BR.A4J4.01,0.0738,0.9028,2.0826,0.1802,3.1048,0.0036
TCGA.D7.6522.01,0.2491,3.0799,4.3627,0.1864,12.5846,0.1656
TCGA.VQ.A922.01,0.0794,1.2878,0.5752,0.1739,8.4255,0.0726
TCGA.CG.4440.01,0.5447,1.0799,0.5814,0.1047,1.5925,0.0458
TCGA.CG.4443.01,0.0242,0.1427,0.0899,0.0835,3.5261,0.0177
TCGA.RD.A8N9.01,0.0713,2.383,4.6901,0.3786,8.4869,0.329
TCGA.BR.7722.01,0.0182,0.3585,0.5179,0.142,3.1775,0.0059
TCGA.CG.4304.01,0.5784,2.2255,3.9072,0.1989,2.9902,0.0537
TCGA.CD.8532.01,0.0585,0.7889,0.9175,0.0764,5.3129,0.0614
TCGA.IN.7808.01,0.0299,0.3449,0.6064,0.1163,6.258,0.0243
TCGA.CG.4442.01,0.2908,2.0109,0.3718,0.1235,0.456,0.0412
TCGA.ZA.A8F6.01,0.0312,1.9265,2.783,0.2131,7.7215,0.0826
TCGA.FP.8210.01,0.404,5.1967,2.7094,0.6115,8.2304,0.1087
TCGA.BR.7717.01,0.0215,1.4601,0.3625,0.0686,3.6125,0.021
TCGA.VQ.A8PF.01,0.1494,0.387,1.5,0.1587,5.3605,0.0276
TCGA.VQ.A94R.01,0.0501,1.5743,0.8629,0.0491,5.142,0.2518
TCGA.R5.A7ZF.01,1.1624,0.2571,0.1645,0.2116,0.3015,0
TCGA.HU.A4H8.01,0.0328,0.1017,0.3058,0.143,2.2914,0
